activity_id,team_id,type,date,team_name,home_away,rotated_session,data_saved,stats_saved
4898,69,official,20200101,anonymous,A,2,1,0
4894,40,official,20200101,anonymous,A,1,1,0
4964,152,official,20200101,anonymous,A,1,1,0
4936,8,official,20200101,anonymous,H,1,1,0
4907,175,official,20200101,anonymous,H,1,1,0
4935,92,official,20200101,anonymous,H,1,1,0
4920,153,official,20200101,anonymous,H,2,1,0
4991,165,official,20200101,anonymous,H,2,1,0
4962,136,official,20200101,anonymous,A,1,1,0
4959,127,official,20200101,anonymous,H,2,1,0
5024,9,official,20200101,anonymous,H,1,1,0
5056,11,official,20200101,anonymous,A,2,1,0
5060,69,official,20200101,anonymous,H,2,1,0
5090,92,official,20200101,anonymous,A,1,1,0
5071,40,official,20200101,anonymous,H,1,1,0
5066,153,official,20200101,anonymous,A,2,1,0
5221,165,official,20200101,anonymous,H,2,1,0
5205,175,official,20200101,anonymous,A,1,1,0
5179,11,official,20200101,anonymous,A,1,1,0
5182,69,official,20200101,anonymous,H,2,1,0
5206,40,official,20200101,anonymous,A,2,1,0
5175,127,official,20200101,anonymous,H,2,1,0
5273,123,official,20200101,anonymous,A,2,1,0
5243,136,official,20200101,anonymous,H,1,1,0
5207,174,official,20200101,anonymous,A,1,1,0
5250,92,official,20200101,anonymous,H,1,1,0
5194,153,official,20200101,anonymous,H,1,1,0
5246,152,official,20200101,anonymous,H,2,1,0
5458,165,official,20200101,anonymous,H,2,1,0
5441,136,official,20200101,anonymous,A,1,1,0
5419,11,official,20200101,anonymous,H,1,1,0
5420,174,official,20200101,anonymous,A,1,1,0
5421,9,official,20200101,anonymous,H,1,1,0
5422,69,official,20200101,anonymous,H,2,1,0
5590,92,official,20200101,anonymous,A,2,1,0
5515,40,official,20200101,anonymous,H,1,1,0
5448,123,official,20200101,anonymous,H,1,1,0
5426,175,official,20200101,anonymous,H,1,1,0
5466,87,official,20200101,anonymous,A,1,1,0
5428,153,official,20200101,anonymous,A,2,1,0
5472,152,official,20200101,anonymous,A,2,1,0
5430,127,official,20200101,anonymous,A,1,1,0
5435,8,official,20200101,anonymous,H,1,1,0
5849,123,official,20200101,anonymous,H,1,1,0
