activity_id,player_id
1889,1279
1889,1898
1947,1853
2073,1279
2111,1159
2111,1756
2123,1159
2123,1756
2238,1856
2250,1215
2253,1287
2272,1923
2382,1215
2587,1287
2656,1287
2799,1215
2806,1279
2806,1315
2995,1761
3651,1758
3683,3298
4106,4219
4334,1289
4557,3628
4557,3633
4568,1308
4642,1215
4894,3827
5066,3757
5179,1896
5206,1159
5207,3644
5825,1854
6036,1898
6161,1159
6406,1896
6423,3298
7036,1159
7046,1896
7400,1857
7780,1761
7898,4279
7986,3735
8034,3408
8113,1159
8141,1288
8141,1314
8141,1896
8205,1857
8574,3685
8805,1896
9270,1926
12888,3342
12895,1723
13095,1896
13207,1896
13313,6861
13448,5788
13500,5351
13540,1896
13732,1896
14194,5391
14201,4387
14901,1766
15851,3756
16187,4382
16210,1925
16918,3660
18052,3660
18617,3773
19282,5440
19523,1719
20355,1279
21378,1735
21378,3559
21406,3362
22664,1687
