activity_id,player_period,form_period,role_period,session,start_dt,end_dt,duration,player_id,squad_num,player_name,base_role,x,y,formation,aligned_role
1879,4,2,5,2,2020-01-01 17:44:00,2020-01-01 17:51:00,420,1227,33,P33,8,-648.0,1618.0,433,LB
1879,4,2,5,2,2020-01-01 17:44:00,2020-01-01 17:51:00,420,1925,38,P38,9,-1273.0,579.0,433,LCB
1879,5,2,6,2,2020-01-01 17:51:00,2020-01-01 17:53:00,120,1248,7,P07,9,-1273.0,579.0,433,LCB
1879,5,2,6,2,2020-01-01 17:51:00,2020-01-01 17:53:00,120,1252,9,P09,10,269.0,666.0,433,LCM
1879,5,2,6,2,2020-01-01 17:51:00,2020-01-01 17:53:00,120,1759,10,P10,3,672.0,1832.0,433,LM
1879,5,2,6,2,2020-01-01 17:51:00,2020-01-01 17:53:00,120,1760,14,P14,8,-648.0,1618.0,433,LB
1879,5,2,6,2,2020-01-01 17:51:00,2020-01-01 17:53:00,120,1766,20,P20,6,-862.0,-609.0,433,RCB
1879,5,2,6,2,2020-01-01 17:51:00,2020-01-01 17:53:00,120,1232,22,P22,4,779.0,-1629.0,433,RM
1879,5,2,6,2,2020-01-01 17:51:00,2020-01-01 17:53:00,120,1235,23,P23,7,-714.0,-1715.0,433,RB
1879,5,2,6,2,2020-01-01 17:51:00,2020-01-01 17:53:00,120,1227,33,P33,5,-508.0,-127.0,433,CDM
1879,5,2,6,2,2020-01-01 17:51:00,2020-01-01 17:53:00,120,1925,38,P38,2,628.0,-636.0,433,RCM
1882,1,1,1,1,2020-01-01 15:00:00,2020-01-01 15:24:10,1450,1849,2,P02,1,-603.0,1789.0,others,LB
1882,1,1,1,1,2020-01-01 15:00:00,2020-01-01 15:24:10,1450,1850,3,P03,2,-1342.0,-659.0,others,RCB
1882,1,1,1,1,2020-01-01 15:00:00,2020-01-01 15:24:10,1450,1851,4,P04,3,-1536.0,642.0,others,LCB
1882,1,1,1,1,2020-01-01 15:00:00,2020-01-01 15:24:10,1450,1855,8,P08,4,-494.0,546.0,others,LDM
1882,1,1,1,1,2020-01-01 15:00:00,2020-01-01 15:24:10,1450,1857,10,P10,5,1218.0,231.0,others,LCF
1882,1,1,1,1,2020-01-01 15:00:00,2020-01-01 15:24:10,1450,1858,11,P11,6,984.0,1480.0,others,LM
1882,1,1,1,1,2020-01-01 15:00:00,2020-01-01 15:24:10,1450,1860,14,P14,7,-813.0,-1592.0,others,RB
1882,1,1,1,1,2020-01-01 15:00:00,2020-01-01 15:24:10,1450,1861,15,P15,8,1879.0,-499.0,others,RCF
1882,1,1,1,1,2020-01-01 15:00:00,2020-01-01 15:24:10,1450,1867,21,P21,9,-73.0,-586.0,others,RDM
1882,1,1,1,1,2020-01-01 15:00:00,2020-01-01 15:24:10,1450,1872,26,P26,10,780.0,-1353.0,others,RM
1882,1,1,2,1,2020-01-01 15:24:10,2020-01-01 15:46:00,1310,1849,2,P02,1,-603.0,1789.0,others,LB
1882,1,1,2,1,2020-01-01 15:24:10,2020-01-01 15:46:00,1310,1850,3,P03,2,-1342.0,-659.0,others,RCB
1882,1,1,2,1,2020-01-01 15:24:10,2020-01-01 15:46:00,1310,1851,4,P04,3,-1536.0,642.0,others,LCB
1882,1,1,2,1,2020-01-01 15:24:10,2020-01-01 15:46:00,1310,1855,8,P08,4,-494.0,546.0,others,LDM
1882,1,1,2,1,2020-01-01 15:24:10,2020-01-01 15:46:00,1310,1857,10,P10,5,1218.0,231.0,others,LCF
1882,1,1,2,1,2020-01-01 15:24:10,2020-01-01 15:46:00,1310,1858,11,P11,10,780.0,-1353.0,others,RM
1882,1,1,2,1,2020-01-01 15:24:10,2020-01-01 15:46:00,1310,1860,14,P14,7,-813.0,-1592.0,others,RB
1882,1,1,2,1,2020-01-01 15:24:10,2020-01-01 15:46:00,1310,1861,15,P15,8,1879.0,-499.0,others,RCF
1882,1,1,2,1,2020-01-01 15:24:10,2020-01-01 15:46:00,1310,1867,21,P21,9,-73.0,-586.0,others,RDM
1882,1,1,2,1,2020-01-01 15:24:10,2020-01-01 15:46:00,1310,1872,26,P26,6,984.0,1480.0,others,LM
1882,2,2,3,2,2020-01-01 16:02:00,2020-01-01 16:24:00,1320,1849,2,P02,1,-866.0,1425.0,4132,LB
1882,2,2,3,2,2020-01-01 16:02:00,2020-01-01 16:24:00,1320,1850,3,P03,2,-1244.0,-714.0,4132,RCB
1882,2,2,3,2,2020-01-01 16:02:00,2020-01-01 16:24:00,1320,1851,4,P04,3,-1436.0,545.0,4132,LCB
1882,2,2,3,2,2020-01-01 16:02:00,2020-01-01 16:24:00,1320,1855,8,P08,9,-677.0,-175.0,4132,CDM
1882,2,2,3,2,2020-01-01 16:02:00,2020-01-01 16:24:00,1320,1857,10,P10,4,153.0,501.0,4132,CAM
1882,2,2,3,2,2020-01-01 16:02:00,2020-01-01 16:24:00,1320,1858,11,P11,6,1099.0,1578.0,4132,LM
1882,2,2,3,2,2020-01-01 16:02:00,2020-01-01 16:24:00,1320,1860,14,P14,7,-731.0,-1659.0,4132,RB
1882,2,2,3,2,2020-01-01 16:02:00,2020-01-01 16:24:00,1320,1861,15,P15,8,1831.0,-336.0,4132,RCF
1882,2,2,3,2,2020-01-01 16:02:00,2020-01-01 16:24:00,1320,1869,23,P23,5,1057.0,53.0,4132,LCF
1882,2,2,3,2,2020-01-01 16:02:00,2020-01-01 16:24:00,1320,1872,26,P26,10,812.0,-1219.0,4132,RM
1882,3,2,4,2,2020-01-01 16:24:00,2020-01-01 16:44:00,1200,1849,2,P02,1,-866.0,1425.0,4132,LB
1882,3,2,4,2,2020-01-01 16:24:00,2020-01-01 16:44:00,1200,1850,3,P03,2,-1244.0,-714.0,4132,RCB
1882,3,2,4,2,2020-01-01 16:24:00,2020-01-01 16:44:00,1200,1851,4,P04,3,-1436.0,545.0,4132,LCB
1882,3,2,4,2,2020-01-01 16:24:00,2020-01-01 16:44:00,1200,1855,8,P08,9,-677.0,-175.0,4132,CDM
1882,3,2,4,2,2020-01-01 16:24:00,2020-01-01 16:44:00,1200,1857,10,P10,6,1099.0,1578.0,4132,LM
1882,3,2,4,2,2020-01-01 16:24:00,2020-01-01 16:44:00,1200,1858,11,P11,10,812.0,-1219.0,4132,RM
1882,3,2,4,2,2020-01-01 16:24:00,2020-01-01 16:44:00,1200,1859,13,P13,4,153.0,501.0,4132,CAM
1882,3,2,4,2,2020-01-01 16:24:00,2020-01-01 16:44:00,1200,1860,14,P14,7,-731.0,-1659.0,4132,RB
1882,3,2,4,2,2020-01-01 16:24:00,2020-01-01 16:44:00,1200,1861,15,P15,5,1057.0,53.0,4132,LCF
1882,3,2,4,2,2020-01-01 16:24:00,2020-01-01 16:44:00,1200,1869,23,P23,8,1831.0,-336.0,4132,RCF
1882,4,2,5,2,2020-01-01 16:44:00,2020-01-01 16:51:00,420,1849,2,P02,1,-866.0,1425.0,4132,LB
1882,4,2,5,2,2020-01-01 16:44:00,2020-01-01 16:51:00,420,1850,3,P03,2,-1244.0,-714.0,4132,RCB
1882,4,2,5,2,2020-01-01 16:44:00,2020-01-01 16:51:00,420,1851,4,P04,3,-1436.0,545.0,4132,LCB
1882,4,2,5,2,2020-01-01 16:44:00,2020-01-01 16:51:00,420,1855,8,P08,9,-677.0,-175.0,4132,CDM
1882,4,2,5,2,2020-01-01 16:44:00,2020-01-01 16:51:00,420,1857,10,P10,6,1099.0,1578.0,4132,LM
1882,4,2,5,2,2020-01-01 16:44:00,2020-01-01 16:51:00,420,1859,13,P13,10,812.0,-1219.0,4132,RM
1882,4,2,5,2,2020-01-01 16:44:00,2020-01-01 16:51:00,420,1860,14,P14,7,-731.0,-1659.0,4132,RB
1882,4,2,5,2,2020-01-01 16:44:00,2020-01-01 16:51:00,420,1861,15,P15,5,1057.0,53.0,4132,LCF
1882,4,2,5,2,2020-01-01 16:44:00,2020-01-01 16:51:00,420,1869,23,P23,4,153.0,501.0,4132,CAM
1882,4,2,5,2,2020-01-01 16:44:00,2020-01-01 16:51:00,420,1880,55,P55,8,1831.0,-336.0,4132,RCF
1952,1,1,1,1,2020-01-01 14:00:00,2020-01-01 14:36:50,2210,3298,6,P06,1,-233.0,-164.0,433,CDM
1952,1,1,1,1,2020-01-01 14:00:00,2020-01-01 14:36:50,2210,1252,9,P09,2,1669.0,-225.0,433,CF
