activity_id,date,team_name,player_id,squad_num,player_name
1888,20200101,anonymous,1777,5,P05
1888,20200101,anonymous,1707,6,P06
1888,20200101,anonymous,1708,7,P07
1888,20200101,anonymous,1709,8,P08
1888,20200101,anonymous,1710,9,P09
1888,20200101,anonymous,1711,10,P10
1888,20200101,anonymous,1718,17,P17
1888,20200101,anonymous,1724,23,P23
1888,20200101,anonymous,1736,51,P51
1949,20200101,anonymous,1709,8,P08
1949,20200101,anonymous,1711,10,P10
1949,20200101,anonymous,1719,18,P18
1949,20200101,anonymous,1736,51,P51
2235,20200101,anonymous,1708,7,P07
2235,20200101,anonymous,1709,8,P08
2235,20200101,anonymous,1710,9,P09
2235,20200101,anonymous,1718,17,P17
2309,20200101,anonymous,1705,4,P04
2309,20200101,anonymous,1709,8,P08
2309,20200101,anonymous,1710,9,P09
2309,20200101,anonymous,1718,17,P17
2309,20200101,anonymous,1736,51,P51
2373,20200101,anonymous,1703,2,P02
2373,20200101,anonymous,1705,4,P04
2373,20200101,anonymous,1708,7,P07
2373,20200101,anonymous,1709,8,P08
2373,20200101,anonymous,1710,9,P09
2373,20200101,anonymous,1711,10,P10
2589,20200101,anonymous,1705,4,P04
2589,20200101,anonymous,1708,7,P07
2589,20200101,anonymous,1709,8,P08
2589,20200101,anonymous,1711,10,P10
2589,20200101,anonymous,1718,17,P17
2589,20200101,anonymous,1736,51,P51
2669,20200101,anonymous,1705,4,P04
2669,20200101,anonymous,1708,7,P07
2669,20200101,anonymous,1718,17,P17
2771,20200101,anonymous,1705,4,P04
2771,20200101,anonymous,1709,8,P08
2771,20200101,anonymous,1710,9,P09
2771,20200101,anonymous,2666,88,P88
2839,20200101,anonymous,1705,4,P04
2839,20200101,anonymous,1709,8,P08
2839,20200101,anonymous,1710,9,P09
2839,20200101,anonymous,1718,17,P17
2839,20200101,anonymous,1736,51,P51
3034,20200101,anonymous,1705,4,P04
3034,20200101,anonymous,1709,8,P08
3196,20200101,anonymous,1705,4,P04
3196,20200101,anonymous,1710,9,P09
3196,20200101,anonymous,2666,88,P88
3523,20200101,anonymous,1705,4,P04
3523,20200101,anonymous,1709,8,P08
3523,20200101,anonymous,1710,9,P09
3523,20200101,anonymous,1736,51,P51
3843,20200101,anonymous,1705,4,P04
3843,20200101,anonymous,1710,9,P09
3843,20200101,anonymous,1711,10,P10
4130,20200101,anonymous,1705,4,P04
4130,20200101,anonymous,1709,8,P08
4130,20200101,anonymous,1710,9,P09
4130,20200101,anonymous,1711,10,P10
4130,20200101,anonymous,1736,51,P51
4408,20200101,anonymous,1705,4,P04
4408,20200101,anonymous,1709,8,P08
4408,20200101,anonymous,1710,9,P09
4646,20200101,anonymous,1703,2,P02
4646,20200101,anonymous,1705,4,P04
4646,20200101,anonymous,1709,8,P08
4646,20200101,anonymous,1710,9,P09
4646,20200101,anonymous,1711,10,P10
4646,20200101,anonymous,1736,51,P51
4993,20200101,anonymous,1705,4,P04
4993,20200101,anonymous,1709,8,P08
4993,20200101,anonymous,1710,9,P09
4993,20200101,anonymous,1711,10,P10
5273,20200101,anonymous,1705,4,P04
5273,20200101,anonymous,1709,8,P08
5273,20200101,anonymous,1710,9,P09
5273,20200101,anonymous,3812,42,P42
5448,20200101,anonymous,1703,2,P02
5448,20200101,anonymous,1705,4,P04
5448,20200101,anonymous,1709,8,P08
5448,20200101,anonymous,1710,9,P09
5448,20200101,anonymous,3812,42,P42
5849,20200101,anonymous,1703,2,P02
5849,20200101,anonymous,1705,4,P04
5849,20200101,anonymous,1709,8,P08
5849,20200101,anonymous,1710,9,P09
5849,20200101,anonymous,4179,11,P11
5849,20200101,anonymous,3812,42,P42
6570,20200101,anonymous,1703,2,P02
6570,20200101,anonymous,1705,4,P04
6570,20200101,anonymous,1709,8,P08
6570,20200101,anonymous,1710,9,P09
6570,20200101,anonymous,3812,42,P42
6759,20200101,anonymous,1703,2,P02
6759,20200101,anonymous,1705,4,P04
6759,20200101,anonymous,1709,8,P08
6759,20200101,anonymous,3812,42,P42
6763,20200101,anonymous,1705,4,P04
6763,20200101,anonymous,1736,51,P51
6904,20200101,anonymous,1705,4,P04
6904,20200101,anonymous,1710,9,P09
7583,20200101,anonymous,1705,4,P04
7583,20200101,anonymous,1710,9,P09
7587,20200101,anonymous,1705,4,P04
7587,20200101,anonymous,1709,8,P08
7587,20200101,anonymous,3812,42,P42
7588,20200101,anonymous,1705,4,P04
7588,20200101,anonymous,1709,8,P08
7588,20200101,anonymous,1710,9,P09
7704,20200101,anonymous,1705,4,P04
7704,20200101,anonymous,1709,8,P08
7704,20200101,anonymous,1710,9,P09
7704,20200101,anonymous,1711,10,P10
8021,20200101,anonymous,1705,4,P04
8021,20200101,anonymous,1709,8,P08
8021,20200101,anonymous,1710,9,P09
8022,20200101,anonymous,1705,4,P04
8022,20200101,anonymous,1710,9,P09
4148,20200101,anonymous,3777,2,P02
4148,20200101,anonymous,3778,3,P03
4148,20200101,anonymous,3781,6,P06
4148,20200101,anonymous,3783,8,P08
4148,20200101,anonymous,3784,9,P09
4148,20200101,anonymous,3785,10,P10
4148,20200101,anonymous,3786,11,P11
4148,20200101,anonymous,3787,13,P13
4148,20200101,anonymous,3789,15,P15
4148,20200101,anonymous,3790,16,P16
4148,20200101,anonymous,3794,20,P20
4148,20200101,anonymous,3806,40,P40
4393,20200101,anonymous,3777,2,P02
4393,20200101,anonymous,3778,3,P03
4393,20200101,anonymous,3780,5,P05
4393,20200101,anonymous,3781,6,P06
4393,20200101,anonymous,3783,8,P08
4393,20200101,anonymous,3784,9,P09
4393,20200101,anonymous,3786,11,P11
4393,20200101,anonymous,3789,15,P15
4393,20200101,anonymous,3798,24,P24
4393,20200101,anonymous,3802,28,P28
4393,20200101,anonymous,3808,77,P77
4585,20200101,anonymous,3778,3,P03
4585,20200101,anonymous,3780,5,P05
4585,20200101,anonymous,3781,6,P06
4585,20200101,anonymous,3784,9,P09
4585,20200101,anonymous,3786,11,P11
4585,20200101,anonymous,3787,13,P13
4585,20200101,anonymous,3789,15,P15
4585,20200101,anonymous,3798,24,P24
4585,20200101,anonymous,3802,28,P28
4585,20200101,anonymous,3883,88,P88
4991,20200101,anonymous,3778,3,P03
4991,20200101,anonymous,3780,5,P05
4991,20200101,anonymous,3784,9,P09
4991,20200101,anonymous,3785,10,P10
4991,20200101,anonymous,3786,11,P11
4991,20200101,anonymous,3787,13,P13
4991,20200101,anonymous,3789,15,P15
4991,20200101,anonymous,3798,24,P24
4991,20200101,anonymous,3800,26,P26
4991,20200101,anonymous,3802,28,P28
4991,20200101,anonymous,3883,88,P88
5221,20200101,anonymous,3778,3,P03
5221,20200101,anonymous,3780,5,P05
5221,20200101,anonymous,3783,8,P08
5221,20200101,anonymous,3784,9,P09
5221,20200101,anonymous,3785,10,P10
5221,20200101,anonymous,3786,11,P11
5221,20200101,anonymous,3787,13,P13
5221,20200101,anonymous,3789,15,P15
5221,20200101,anonymous,3798,24,P24
5221,20200101,anonymous,3800,26,P26
5221,20200101,anonymous,4052,30,P30
5221,20200101,anonymous,3808,77,P77
5221,20200101,anonymous,3883,88,P88
5458,20200101,anonymous,3777,2,P02
5458,20200101,anonymous,3778,3,P03
5458,20200101,anonymous,3780,5,P05
5458,20200101,anonymous,3783,8,P08
5458,20200101,anonymous,3784,9,P09
5458,20200101,anonymous,3785,10,P10
5458,20200101,anonymous,3786,11,P11
5458,20200101,anonymous,3787,13,P13
5458,20200101,anonymous,3789,15,P15
5458,20200101,anonymous,3800,26,P26
5458,20200101,anonymous,4052,30,P30
5458,20200101,anonymous,3808,77,P77
5458,20200101,anonymous,3883,88,P88
5840,20200101,anonymous,3778,3,P03
5840,20200101,anonymous,3780,5,P05
5840,20200101,anonymous,3783,8,P08
5840,20200101,anonymous,3784,9,P09
5840,20200101,anonymous,3785,10,P10
5840,20200101,anonymous,3786,11,P11
5840,20200101,anonymous,3787,13,P13
5840,20200101,anonymous,3789,15,P15
5840,20200101,anonymous,3798,24,P24
5840,20200101,anonymous,3800,26,P26
5840,20200101,anonymous,4052,30,P30
5840,20200101,anonymous,3808,77,P77
5840,20200101,anonymous,3883,88,P88
6158,20200101,anonymous,3778,3,P03
6158,20200101,anonymous,3780,5,P05
6158,20200101,anonymous,3783,8,P08
6158,20200101,anonymous,3784,9,P09
6158,20200101,anonymous,3785,10,P10
6158,20200101,anonymous,3786,11,P11
6158,20200101,anonymous,3787,13,P13
6158,20200101,anonymous,3788,14,P14
6158,20200101,anonymous,3789,15,P15
6158,20200101,anonymous,3798,24,P24
6158,20200101,anonymous,4052,30,P30
6158,20200101,anonymous,3808,77,P77
6158,20200101,anonymous,3883,88,P88
6446,20200101,anonymous,3778,3,P03
6446,20200101,anonymous,3780,5,P05
6446,20200101,anonymous,3783,8,P08
6446,20200101,anonymous,3784,9,P09
6446,20200101,anonymous,3785,10,P10
6446,20200101,anonymous,3786,11,P11
6446,20200101,anonymous,3787,13,P13
6446,20200101,anonymous,3789,15,P15
6446,20200101,anonymous,3793,19,P19
6446,20200101,anonymous,3800,26,P26
6446,20200101,anonymous,4052,30,P30
6446,20200101,anonymous,3808,77,P77
6446,20200101,anonymous,3883,88,P88
6701,20200101,anonymous,3777,2,P02
6701,20200101,anonymous,3785,10,P10
6701,20200101,anonymous,3786,11,P11
6701,20200101,anonymous,3787,13,P13
6701,20200101,anonymous,3793,19,P19
6701,20200101,anonymous,3794,20,P20
6701,20200101,anonymous,1862,50,P50
6701,20200101,anonymous,3883,88,P88
